#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
418784,36565776,C7M61_002387,C7M61_002387,-,-,Unknown,-,NADP-specific glutamate dehydrogenase,protein-coding,-,-,-,NADP-specific glutamate dehydrogenase,20200919,-
418784,36565777,C7M61_002388,C7M61_002388,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565778,C7M61_002389,C7M61_002389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565779,C7M61_002390,C7M61_002390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565780,C7M61_002391,C7M61_002391,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565781,C7M61_002392,C7M61_002392,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565782,C7M61_002393,C7M61_002393,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565783,C7M61_002394,C7M61_002394,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565784,C7M61_002395,C7M61_002395,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565785,C7M61_002396,C7M61_002396,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565786,C7M61_002397,C7M61_002397,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565787,C7M61_002398,C7M61_002398,-,-,Unknown,-,60S ribosomal protein L36,protein-coding,-,-,-,60S ribosomal protein L36,20200919,-
418784,36565788,C7M61_002399,C7M61_002399,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565789,C7M61_002400,C7M61_002400,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565790,C7M61_002401,C7M61_002401,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565791,C7M61_002402,C7M61_002402,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
418784,36565792,C7M61_002403,C7M61_002403,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
418784,36565793,C7M61_002404,C7M61_002404,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
