#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026080,40089249,FDI45_gp136,FDI45_gp136,RISINGSUN_136,-,-,-,putative SGNH/GDSL hydrolase family protein,protein-coding,-,-,-,putative SGNH/GDSL hydrolase family protein,20201221,-
2026080,40089250,FDI45_gp137,FDI45_gp137,RISINGSUN_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089251,FDI45_gp138,FDI45_gp138,RISINGSUN_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089252,FDI45_gp139,FDI45_gp139,RISINGSUN_139,-,-,-,putative phosphate starvation protein PhoH,protein-coding,-,-,-,putative phosphate starvation protein PhoH,20201221,-
2026080,40089253,FDI45_gp140,FDI45_gp140,RISINGSUN_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089254,FDI45_gp141,FDI45_gp141,RISINGSUN_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089255,FDI45_gp142,FDI45_gp142,RISINGSUN_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089256,FDI45_gp143,FDI45_gp143,RISINGSUN_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089257,FDI45_gp144,FDI45_gp144,RISINGSUN_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089258,FDI45_gp145,FDI45_gp145,RISINGSUN_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089259,FDI45_gp146,FDI45_gp146,RISINGSUN_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089260,FDI45_gp147,FDI45_gp147,RISINGSUN_147,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20201221,-
2026080,40089261,FDI45_gp148,FDI45_gp148,RISINGSUN_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089262,FDI45_gp149,FDI45_gp149,RISINGSUN_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089263,FDI45_gp150,FDI45_gp150,RISINGSUN_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089264,FDI45_gp151,FDI45_gp151,RISINGSUN_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089265,FDI45_gp152,FDI45_gp152,RISINGSUN_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089266,FDI45_gp153,FDI45_gp153,RISINGSUN_153,-,-,-,DUF1190 domain containing protein,protein-coding,-,-,-,DUF1190 domain containing protein,20201221,-
2026080,40089267,FDI45_gp154,FDI45_gp154,RISINGSUN_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089268,FDI45_gp155,FDI45_gp155,RISINGSUN_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089269,FDI45_gp156,FDI45_gp156,RISINGSUN_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089270,FDI45_gp157,FDI45_gp157,RISINGSUN_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089271,FDI45_gp158,FDI45_gp158,RISINGSUN_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089272,FDI45_gp159,FDI45_gp159,RISINGSUN_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089273,FDI45_gp160,FDI45_gp160,RISINGSUN_160,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20201221,-
2026080,40089274,FDI45_gp161,FDI45_gp161,RISINGSUN_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089275,FDI45_gp162,FDI45_gp162,RISINGSUN_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089276,FDI45_gp163,FDI45_gp163,RISINGSUN_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089277,FDI45_gp164,FDI45_gp164,RISINGSUN_164,-,-,-,putative DNA adenine methylase,protein-coding,-,-,-,putative DNA adenine methylase,20201221,-
2026080,40089278,FDI45_gp165,FDI45_gp165,RISINGSUN_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089279,FDI45_gp166,FDI45_gp166,RISINGSUN_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089280,FDI45_gp167,FDI45_gp167,RISINGSUN_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089281,FDI45_gp168,FDI45_gp168,RISINGSUN_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089282,FDI45_gp169,FDI45_gp169,RISINGSUN_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089283,FDI45_gp170,FDI45_gp170,RISINGSUN_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089284,FDI45_gp171,FDI45_gp171,RISINGSUN_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089285,FDI45_gp172,FDI45_gp172,RISINGSUN_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089286,FDI45_gp173,FDI45_gp173,RISINGSUN_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089287,FDI45_gp174,FDI45_gp174,RISINGSUN_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089288,FDI45_gp175,FDI45_gp175,RISINGSUN_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2026080,40089289,FDI45_gp176,FDI45_gp176,RISINGSUN_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
