#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
90370,7708554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus typhi; Bacterium (subgen. Eberthella) typhi; Salmonella choleraesuis serovar Typhi; Salmonella choleraesuis typhi; Salmonella enterica ser. typhi; Salmonella enterica serotype Typhi; Salmonella enterica serovar Typhi; Salmonella typhi).,other,-,-,-,-,20210220,-
90370,39671250,SM215174_RS24465,SM215174_RS24465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671281,SM232188_RS24725,SM232188_RS24725,SM232188_07108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671283,SM232188_RS25135,SM232188_RS25135,SM232188_06173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39671284,SM232188_RS24685,SM232188_RS24685,SM232188_07099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39671288,SM232188_RS25240,SM232188_RS25240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671296,SM232188_RS24795,SM232188_RS24795,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671300,SM232188_RS25045,SM232188_RS25045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671313,SM232188_RS24990,SM232188_RS24990,SM232188_06158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671321,SM232188_RS25085,SM232188_RS25085,SM232188_00082,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39671337,SM232188_RS25070,SM232188_RS25070,SM232188_06165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671353,SM232188_RS25160,SM232188_RS25160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671355,SM232188_RS24580,SM232188_RS24580,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671357,SM232188_RS25035,SM232188_RS25035,SM232188_06152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39671358,SM232188_RS24775,SM232188_RS24775,SM232188_07117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671394,SM232188_RS25230,SM232188_RS25230,SM232188_07164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671395,SM232188_RS24675,SM232188_RS24675,SM232188_07101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671437,SM211171_RS24885,SM211171_RS24885,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671462,SM211171_RS24565,SM211171_RS24565,SM211171_07085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39671472,SM211171_RS24815,SM211171_RS24815,SM211171_07046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671475,SM211171_RS24525,SM211171_RS24525,SM211171_06983,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671499,SM211171_RS24800,SM211171_RS24800,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671506,SM211171_RS24775,SM211171_RS24775,SM211171_07028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39671529,SM227128_RS24715,SM227128_RS24715,SM227128_07113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671545,SM227128_RS25100,SM227128_RS25100,SM227128_06168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671555,SM227128_RS25010,SM227128_RS25010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671556,SM227128_RS24815,SM227128_RS24815,SM227128_07128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671563,SM227128_RS25180,SM227128_RS25180,SM227128_06179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671564,SM227128_RS24940,SM227128_RS24940,SM227128_07141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671573,SM227128_RS24930,SM227128_RS24930,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671594,SM227128_RS24805,SM227128_RS24805,SM227128_07127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39671595,SM227128_RS24765,SM227128_RS24765,SM227128_07121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671604,SM227128_RS25085,SM227128_RS25085,SM227128_00079,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39671612,SM227128_RS25035,SM227128_RS25035,SM227128_06162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39671613,SM227128_RS25135,SM227128_RS25135,SM227128_06175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39671634,SM227128_RS24910,SM227128_RS24910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671641,SM227128_RS25125,SM227128_RS25125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671650,SM227128_RS24695,SM227128_RS24695,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671662,SM224186_RS00770,SM224186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671673,SM224186_RS00915,SM224186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671687,SM224186_RS00500,SM224186_RS00500,SM224186_07317,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671690,SM224186_RS01200,SM224186_RS01200,SM224186_07314,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671698,SM224186_RS00195,SM224186_RS00195,SM224186_07093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39671699,SM224186_RS00190,SM224186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39671736,SM224186_RS00345,SM224186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671741,SM224186_RS00810,SM224186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671752,SM224186_RS00825,SM224186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671757,SM224186_RS00955,SM224186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671768,SM224186_RS01110,SM224186_RS01110,SM224186_07250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39671770,SM224186_RS00950,SM224186_RS00950,SM224186_07318,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671778,SM224186_RS01025,SM224186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671798,SM224186_RS00555,SM224186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671800,SM224186_RS00075,SM224186_RS00075,SM224186_07062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671832,SM224186_RS00875,SM224186_RS00875,SM224186_07298,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671836,SM224186_RS01020,SM224186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671864,SM224186_RS00715,SM224186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671896,SM224186_RS00110,SM224186_RS00110,SM224186_07308,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671907,SM223186_RS00715,SM223186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671913,SM223186_RS00940,SM223186_RS00940,SM223186_07303,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671915,SM223186_RS00865,SM223186_RS00865,SM223186_07305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671917,SM223186_RS01100,SM223186_RS01100,SM223186_07235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39671950,SM223186_RS00770,SM223186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671979,SM223186_RS00800,SM223186_RS00800,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671990,SM223186_RS00815,SM223186_RS00815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39671991,SM223186_RS00555,SM223186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39671996,SM223186_RS00110,SM223186_RS00110,SM223186_07294,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672010,SM223186_RS01015,SM223186_RS01015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672031,SM223186_RS00945,SM223186_RS00945,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672032,SM223186_RS00345,SM223186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672045,SM223186_RS00500,SM223186_RS00500,SM223186_07298,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672065,SM223186_RS01190,SM223186_RS01190,SM223186_07292,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672074,SM223186_RS00195,SM223186_RS00195,SM223186_07075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39672084,SM223186_RS00075,SM223186_RS00075,SM223186_07052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672117,SM223186_RS01010,SM223186_RS01010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672139,SM223186_RS00905,SM223186_RS00905,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672144,SM223186_RS00190,SM223186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39672155,SM268186_RS25015,SM268186_RS25015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672164,SM268186_RS24700,SM268186_RS24700,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672176,SM268186_RS24810,SM268186_RS24810,SM268186_07132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39672193,SM268186_RS24770,SM268186_RS24770,SM268186_07128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672194,SM268186_RS24820,SM268186_RS24820,SM268186_07135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672197,SM268186_RS25090,SM268186_RS25090,SM268186_00083,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39672201,SM268186_RS25130,SM268186_RS25130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672213,SM268186_RS24720,SM268186_RS24720,SM268186_07125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672234,SM268186_RS24935,SM268186_RS24935,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672242,SM268186_RS24945,SM268186_RS24945,SM268186_07150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672245,SM268186_RS25105,SM268186_RS25105,SM268186_06173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672250,SM268186_RS25040,SM268186_RS25040,SM268186_06171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39672259,SM268186_RS25140,SM268186_RS25140,SM268186_06180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39672267,SM268186_RS25185,SM268186_RS25185,SM268186_06192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672268,SM268186_RS24915,SM268186_RS24915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672321,SM220186_RS25265,SM220186_RS25265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672359,SM220186_RS25640,SM220186_RS25640,SM220186_07315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672361,SM220186_RS24995,SM220186_RS24995,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672366,SM220186_RS24515,SM220186_RS24515,SM220186_07060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672376,SM220186_RS25460,SM220186_RS25460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672379,SM220186_RS25355,SM220186_RS25355,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672388,SM220186_RS25210,SM220186_RS25210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672400,SM220186_RS25395,SM220186_RS25395,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672402,SM220186_RS25155,SM220186_RS25155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672408,SM220186_RS25550,SM220186_RS25550,SM220186_07235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39672414,SM220186_RS25315,SM220186_RS25315,SM220186_07309,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672420,SM220186_RS24940,SM220186_RS24940,SM220186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672423,SM220186_RS25390,SM220186_RS25390,SM220186_07292,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672450,SM220186_RS25250,SM220186_RS25250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672457,SM220186_RS24635,SM220186_RS24635,SM220186_07089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39672466,SM220186_RS24550,SM220186_RS24550,SM220186_07296,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672469,SM220186_RS24785,SM220186_RS24785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672512,SM220186_RS24630,SM220186_RS24630,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39672532,SM220186_RS25465,SM220186_RS25465,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672538,SM294172_RS25050,SM294172_RS25050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672546,SM294172_RS24730,SM294172_RS24730,SM294172_07123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672570,SM294172_RS25245,SM294172_RS25245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672574,SM294172_RS24780,SM294172_RS24780,SM294172_07127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672580,SM294172_RS25140,SM294172_RS25140,SM294172_06187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39672585,SM294172_RS24680,SM294172_RS24680,SM294172_07115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672586,SM294172_RS25165,SM294172_RS25165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672601,SM294172_RS25235,SM294172_RS25235,SM294172_07180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672602,SM294172_RS24800,SM294172_RS24800,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672608,SM294172_RS25040,SM294172_RS25040,SM294172_06180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39672633,SM294172_RS24690,SM294172_RS24690,SM294172_07117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39672641,SM294172_RS25090,SM294172_RS25090,SM294172_00082,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39672645,SM294172_RS24995,SM294172_RS24995,SM294172_06149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672657,SM294172_RS25075,SM294172_RS25075,SM294172_06175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672664,SM294172_RS25265,SM294172_RS25265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672676,SM253155_RS25040,SM253155_RS25040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672684,SM253155_RS24960,SM253155_RS24960,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672698,SM253155_RS25210,SM253155_RS25210,SM253155_06075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672707,SM253155_RS24835,SM253155_RS24835,SM253155_07080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39672716,SM253155_RS24845,SM253155_RS24845,SM253155_07078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672718,SM253155_RS24745,SM253155_RS24745,SM253155_07059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672724,SM253155_RS24725,SM253155_RS24725,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672740,SM253155_RS25065,SM253155_RS25065,SM253155_06062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39672751,SM253155_RS25115,SM253155_RS25115,SM253155_00084,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39672755,SM253155_RS24970,SM253155_RS24970,SM253155_07094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672760,SM253155_RS25130,SM253155_RS25130,SM253155_06068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672777,SM253155_RS25155,SM253155_RS25155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672779,SM253155_RS25165,SM253155_RS25165,SM253155_06067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39672784,SM253155_RS24795,SM253155_RS24795,SM253155_07073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672805,SM253155_RS24940,SM253155_RS24940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672810,SM252143_RS25225,SM252143_RS25225,SM252143_06194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672812,SM252143_RS25315,SM252143_RS25315,SM252143_07191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672819,SM252143_RS24820,SM252143_RS24820,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672822,SM252143_RS25305,SM252143_RS25305,SM252143_06204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672844,SM252143_RS24930,SM252143_RS24930,SM252143_07146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39672848,SM252143_RS25055,SM252143_RS25055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672852,SM252143_RS24840,SM252143_RS24840,SM252143_07129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672859,SM252143_RS25250,SM252143_RS25250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672869,SM252143_RS24940,SM252143_RS24940,SM252143_07149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672878,SM252143_RS25260,SM252143_RS25260,SM252143_06200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
90370,39672887,SM252143_RS25065,SM252143_RS25065,SM252143_07152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672893,SM252143_RS25160,SM252143_RS25160,SM252143_06191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39672898,SM252143_RS25210,SM252143_RS25210,SM252143_00081,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39672912,SM252143_RS25135,SM252143_RS25135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672923,SM252143_RS25035,SM252143_RS25035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672941,SM252143_RS24890,SM252143_RS24890,SM252143_07136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39672964,SM252186_RS01200,SM252186_RS01200,SM252186_07309,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672966,SM252186_RS00555,SM252186_RS00555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672969,SM252186_RS00500,SM252186_RS00500,SM252186_07312,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39672981,SM252186_RS00915,SM252186_RS00915,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673004,SM252186_RS00810,SM252186_RS00810,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673044,SM252186_RS01020,SM252186_RS01020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673048,SM252186_RS00955,SM252186_RS00955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673051,SM252186_RS01110,SM252186_RS01110,SM252186_07225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39673059,SM252186_RS00825,SM252186_RS00825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673062,SM252186_RS00950,SM252186_RS00950,SM252186_07313,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673096,SM252186_RS00770,SM252186_RS00770,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673106,SM252186_RS01025,SM252186_RS01025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673116,SM252186_RS00715,SM252186_RS00715,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673127,SM252186_RS00110,SM252186_RS00110,SM252186_07296,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673130,SM252186_RS00195,SM252186_RS00195,SM252186_07091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39673147,SM252186_RS00075,SM252186_RS00075,SM252186_07054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673165,SM252186_RS00190,SM252186_RS00190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
90370,39673177,SM252186_RS00345,SM252186_RS00345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673179,SM252186_RS00875,SM252186_RS00875,SM252186_07307,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673203,SM213147_RS25525,SM213147_RS25525,SM213147_07229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673213,SM213147_RS25795,SM213147_RS25795,SM213147_00082,-,-,-,-,tRNA,-,-,-,-,20190407,-
90370,39673218,SM213147_RS25515,SM213147_RS25515,SM213147_07226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
90370,39673225,SM213147_RS25810,SM213147_RS25810,SM213147_06096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673227,SM213147_RS25890,SM213147_RS25890,SM213147_06108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673240,SM213147_RS25640,SM213147_RS25640,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673241,SM213147_RS25620,SM213147_RS25620,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673245,SM213147_RS25745,SM213147_RS25745,SM213147_06090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
90370,39673269,SM213147_RS25835,SM213147_RS25835,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673271,SM213147_RS25650,SM213147_RS25650,SM213147_07242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673276,SM213147_RS25405,SM213147_RS25405,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673281,SM213147_RS25720,SM213147_RS25720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39673286,SM213147_RS25475,SM213147_RS25475,SM213147_07214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673289,SM213147_RS25425,SM213147_RS25425,SM213147_07216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39673305,SM213147_RS25845,SM213147_RS25845,SM213147_06101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
