#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64702009,F5147DRAFT_745436,F5147DRAFT_745436,-,-,Unknown,-,transcription factor,protein-coding,-,-,-,transcription factor,20210605,-
1912936,64702010,F5147DRAFT_745447,F5147DRAFT_745447,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702011,F5147DRAFT_745457,F5147DRAFT_745457,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702012,F5147DRAFT_745470,F5147DRAFT_745470,-,-,Unknown,-,ribosomal protein S5 domain 2-type protein,protein-coding,-,-,-,ribosomal protein S5 domain 2-type protein,20210605,-
1912936,64702013,F5147DRAFT_745494,F5147DRAFT_745494,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702014,F5147DRAFT_745497,F5147DRAFT_745497,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702015,F5147DRAFT_745505,F5147DRAFT_745505,-,-,Unknown,-,heterokaryon incompatibility protein-domain-containing protein,protein-coding,-,-,-,heterokaryon incompatibility protein-domain-containing protein,20210605,-
1912936,64702016,F5147DRAFT_745517,F5147DRAFT_745517,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64702017,F5147DRAFT_745519,F5147DRAFT_745519,-,-,Unknown,-,ubiquitin-conjugating enzyme/RWD-like protein,protein-coding,-,-,-,ubiquitin-conjugating enzyme/RWD-like protein,20210605,-
1912936,64702018,F5147DRAFT_745525,F5147DRAFT_745525,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702019,F5147DRAFT_745571,F5147DRAFT_745571,-,-,Unknown,-,lectin 2b,protein-coding,-,-,-,lectin 2b,20210605,-
1912936,64702020,F5147DRAFT_745589,F5147DRAFT_745589,-,-,Unknown,-,O-methyltransferase-domain-containing protein,protein-coding,-,-,-,O-methyltransferase-domain-containing protein,20210605,-
1912936,64702021,F5147DRAFT_745615,F5147DRAFT_745615,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702022,F5147DRAFT_745618,F5147DRAFT_745618,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702023,F5147DRAFT_745624,F5147DRAFT_745624,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702024,F5147DRAFT_745630,F5147DRAFT_745630,-,-,Unknown,-,putative casein kinase I,protein-coding,-,-,-,putative casein kinase I,20210605,-
1912936,64702025,F5147DRAFT_745637,F5147DRAFT_745637,-,-,Unknown,-,acyl-CoA oxidase,protein-coding,-,-,-,acyl-CoA oxidase,20210605,-
1912936,64702026,F5147DRAFT_745644,F5147DRAFT_745644,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702027,F5147DRAFT_745646,F5147DRAFT_745646,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64702028,F5147DRAFT_745651,F5147DRAFT_745651,-,-,Unknown,-,ribosomal protein L31e-domain-containing protein,protein-coding,-,-,-,ribosomal protein L31e-domain-containing protein,20210605,-
1912936,64702029,F5147DRAFT_745656,F5147DRAFT_745656,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702030,F5147DRAFT_745699,F5147DRAFT_745699,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702031,F5147DRAFT_74570,F5147DRAFT_74570,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702032,F5147DRAFT_745701,F5147DRAFT_745701,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702033,F5147DRAFT_745702,F5147DRAFT_745702,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702034,F5147DRAFT_745706,F5147DRAFT_745706,-,-,Unknown,-,amino acid permease-domain-containing protein,protein-coding,-,-,-,amino acid permease-domain-containing protein,20210605,-
1912936,64702035,F5147DRAFT_745710,F5147DRAFT_745710,-,-,Unknown,-,ClpP/crotonase-like domain-containing protein,protein-coding,-,-,-,ClpP/crotonase-like domain-containing protein,20210605,-
1912936,64702036,F5147DRAFT_745721,F5147DRAFT_745721,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702037,F5147DRAFT_745724,F5147DRAFT_745724,-,-,Unknown,-,eukaryotic translation initiation factor 2 beta,protein-coding,-,-,-,eukaryotic translation initiation factor 2 beta,20210605,-
1912936,64702038,F5147DRAFT_745734,F5147DRAFT_745734,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210605,-
1912936,64702039,F5147DRAFT_745743,F5147DRAFT_745743,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64702040,F5147DRAFT_745746,F5147DRAFT_745746,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702041,F5147DRAFT_745755,F5147DRAFT_745755,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702042,F5147DRAFT_745760,F5147DRAFT_745760,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702043,F5147DRAFT_745761,F5147DRAFT_745761,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702044,F5147DRAFT_745786,F5147DRAFT_745786,-,-,Unknown,-,HotDog domain-containing protein,protein-coding,-,-,-,HotDog domain-containing protein,20210605,-
1912936,64702045,F5147DRAFT_745793,F5147DRAFT_745793,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702046,F5147DRAFT_745794,F5147DRAFT_745794,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702047,F5147DRAFT_745795,F5147DRAFT_745795,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702048,F5147DRAFT_745830,F5147DRAFT_745830,-,-,Unknown,-,flavoprotein,protein-coding,-,-,-,flavoprotein,20210605,-
1912936,64702049,F5147DRAFT_745835,F5147DRAFT_745835,-,-,Unknown,-,DNA breaking-rejoining enzyme,protein-coding,-,-,-,DNA breaking-rejoining enzyme,20210605,-
1912936,64702050,F5147DRAFT_745850,F5147DRAFT_745850,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702051,F5147DRAFT_745857,F5147DRAFT_745857,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702052,F5147DRAFT_745874,F5147DRAFT_745874,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702053,F5147DRAFT_745875,F5147DRAFT_745875,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64702054,F5147DRAFT_745887,F5147DRAFT_745887,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702055,F5147DRAFT_745899,F5147DRAFT_745899,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702056,F5147DRAFT_745903,F5147DRAFT_745903,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702057,F5147DRAFT_74594,F5147DRAFT_74594,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702058,F5147DRAFT_745953,F5147DRAFT_745953,-,-,Unknown,-,aryl-alcohol oxidase-like protein,protein-coding,-,-,-,aryl-alcohol oxidase-like protein,20210605,-
1912936,64702059,F5147DRAFT_745955,F5147DRAFT_745955,-,-,Unknown,-,UbiA prenyltransferase family,protein-coding,-,-,-,UbiA prenyltransferase family,20210605,-
1912936,64702060,F5147DRAFT_745962,F5147DRAFT_745962,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64702061,F5147DRAFT_745968,F5147DRAFT_745968,-,-,Unknown,-,inositol hexakisphosphate-domain-containing protein,protein-coding,-,-,-,inositol hexakisphosphate-domain-containing protein,20210605,-
1912936,64702062,F5147DRAFT_745971,F5147DRAFT_745971,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702063,F5147DRAFT_745975,F5147DRAFT_745975,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64702064,F5147DRAFT_745987,F5147DRAFT_745987,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702065,F5147DRAFT_745992,F5147DRAFT_745992,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702066,F5147DRAFT_746009,F5147DRAFT_746009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702067,F5147DRAFT_746023,F5147DRAFT_746023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702068,F5147DRAFT_746029,F5147DRAFT_746029,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702069,F5147DRAFT_746046,F5147DRAFT_746046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702070,F5147DRAFT_746066,F5147DRAFT_746066,-,-,Unknown,-,Mss4-like protein,protein-coding,-,-,-,Mss4-like protein,20210605,-
1912936,64702071,F5147DRAFT_746072,F5147DRAFT_746072,-,-,Unknown,-,thiamine pyrophosphokinase,protein-coding,-,-,-,thiamine pyrophosphokinase,20210605,-
1912936,64702072,F5147DRAFT_746076,F5147DRAFT_746076,-,-,Unknown,-,L domain-like protein,protein-coding,-,-,-,L domain-like protein,20210605,-
1912936,64702073,F5147DRAFT_746079,F5147DRAFT_746079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702074,F5147DRAFT_746092,F5147DRAFT_746092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702075,F5147DRAFT_746102,F5147DRAFT_746102,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702076,F5147DRAFT_746105,F5147DRAFT_746105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702077,F5147DRAFT_746108,F5147DRAFT_746108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702078,F5147DRAFT_746112,F5147DRAFT_746112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702079,F5147DRAFT_746163,F5147DRAFT_746163,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64702080,F5147DRAFT_746175,F5147DRAFT_746175,-,-,Unknown,-,nucleotide-sugar transporter-domain-containing protein,protein-coding,-,-,-,nucleotide-sugar transporter-domain-containing protein,20210605,-
1912936,64702081,F5147DRAFT_746191,F5147DRAFT_746191,-,-,Unknown,-,SIT4 phosphatase-associated protein-domain-containing protein,protein-coding,-,-,-,SIT4 phosphatase-associated protein-domain-containing protein,20210605,-
1912936,64702082,F5147DRAFT_746199,F5147DRAFT_746199,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702083,F5147DRAFT_746201,F5147DRAFT_746201,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702084,F5147DRAFT_746218,F5147DRAFT_746218,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702085,F5147DRAFT_746239,F5147DRAFT_746239,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702086,F5147DRAFT_746242,F5147DRAFT_746242,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702087,F5147DRAFT_746244,F5147DRAFT_746244,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702088,F5147DRAFT_746262,F5147DRAFT_746262,-,-,Unknown,-,carbon-nitrogen hydrolase,protein-coding,-,-,-,carbon-nitrogen hydrolase,20210605,-
1912936,64702089,F5147DRAFT_746271,F5147DRAFT_746271,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64702090,F5147DRAFT_746279,F5147DRAFT_746279,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702091,F5147DRAFT_746280,F5147DRAFT_746280,-,-,Unknown,-,phosphotyrosine protein phosphatase,protein-coding,-,-,-,phosphotyrosine protein phosphatase,20210605,-
1912936,64702092,F5147DRAFT_746291,F5147DRAFT_746291,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702093,F5147DRAFT_746305,F5147DRAFT_746305,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702094,F5147DRAFT_746322,F5147DRAFT_746322,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702095,F5147DRAFT_746330,F5147DRAFT_746330,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702096,F5147DRAFT_746360,F5147DRAFT_746360,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702097,F5147DRAFT_746361,F5147DRAFT_746361,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702098,F5147DRAFT_746373,F5147DRAFT_746373,-,-,Unknown,-,"DNA-directed RNA polymerase, subunit N/Rpb10",protein-coding,-,-,-,"DNA-directed RNA polymerase, subunit N/Rpb10",20210605,-
1912936,64702099,F5147DRAFT_746378,F5147DRAFT_746378,-,-,Unknown,-,protein-L-isoaspartate O-methyltransferase,protein-coding,-,-,-,protein-L-isoaspartate O-methyltransferase,20210605,-
1912936,64702100,F5147DRAFT_746400,F5147DRAFT_746400,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702101,F5147DRAFT_746414,F5147DRAFT_746414,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702102,F5147DRAFT_746419,F5147DRAFT_746419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702103,F5147DRAFT_746448,F5147DRAFT_746448,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702104,F5147DRAFT_746449,F5147DRAFT_746449,-,-,Unknown,-,glycosyltransferase family 15 protein,protein-coding,-,-,-,glycosyltransferase family 15 protein,20210605,-
1912936,64702105,F5147DRAFT_746463,F5147DRAFT_746463,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702106,F5147DRAFT_746481,F5147DRAFT_746481,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702107,F5147DRAFT_746482,F5147DRAFT_746482,-,-,Unknown,-,Metallo-dependent phosphatase-like protein,protein-coding,-,-,-,Metallo-dependent phosphatase-like protein,20210605,-
1912936,64702108,F5147DRAFT_746487,F5147DRAFT_746487,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702109,F5147DRAFT_746489,F5147DRAFT_746489,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702110,F5147DRAFT_746496,F5147DRAFT_746496,-,-,Unknown,-,beta-glucan synthesis-associated protein-domain-containing protein,protein-coding,-,-,-,beta-glucan synthesis-associated protein-domain-containing protein,20210605,-
1912936,64702111,F5147DRAFT_746513,F5147DRAFT_746513,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702112,F5147DRAFT_746514,F5147DRAFT_746514,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702113,F5147DRAFT_746516,F5147DRAFT_746516,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702114,F5147DRAFT_746517,F5147DRAFT_746517,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702115,F5147DRAFT_746518,F5147DRAFT_746518,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702116,F5147DRAFT_746521,F5147DRAFT_746521,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702117,F5147DRAFT_746535,F5147DRAFT_746535,-,-,Unknown,-,"putative casein kinase 1, delta",protein-coding,-,-,-,"putative casein kinase 1, delta",20210605,-
1912936,64702118,F5147DRAFT_746557,F5147DRAFT_746557,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210605,-
1912936,64702119,F5147DRAFT_746563,F5147DRAFT_746563,-,-,Unknown,-,putative halogenase,protein-coding,-,-,-,putative halogenase,20210605,-
1912936,64702120,F5147DRAFT_746572,F5147DRAFT_746572,-,-,Unknown,-,Fet3 ferroxidase,protein-coding,-,-,-,Fet3 ferroxidase,20210605,-
1912936,64702121,F5147DRAFT_746575,F5147DRAFT_746575,-,-,Unknown,-,histone transcription regulator 1,protein-coding,-,-,-,histone transcription regulator 1,20210605,-
1912936,64702122,F5147DRAFT_746586,F5147DRAFT_746586,-,-,Unknown,-,general amidase,protein-coding,-,-,-,general amidase,20210605,-
1912936,64702123,F5147DRAFT_746600,F5147DRAFT_746600,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702124,F5147DRAFT_746601,F5147DRAFT_746601,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702125,F5147DRAFT_746603,F5147DRAFT_746603,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702126,F5147DRAFT_746639,F5147DRAFT_746639,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702127,F5147DRAFT_746662,F5147DRAFT_746662,-,-,Unknown,-,concanavalin A-like lectin/glucanase domain-containing protein,protein-coding,-,-,-,concanavalin A-like lectin/glucanase domain-containing protein,20210605,-
1912936,64702128,F5147DRAFT_746665,F5147DRAFT_746665,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702129,F5147DRAFT_746667,F5147DRAFT_746667,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702130,F5147DRAFT_746669,F5147DRAFT_746669,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702131,F5147DRAFT_746672,F5147DRAFT_746672,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702132,F5147DRAFT_746673,F5147DRAFT_746673,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702133,F5147DRAFT_746682,F5147DRAFT_746682,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702134,F5147DRAFT_74670,F5147DRAFT_74670,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1912936,64702135,F5147DRAFT_746704,F5147DRAFT_746704,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702136,F5147DRAFT_74675,F5147DRAFT_74675,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1912936,64702137,F5147DRAFT_746759,F5147DRAFT_746759,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702138,F5147DRAFT_746768,F5147DRAFT_746768,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702139,F5147DRAFT_746769,F5147DRAFT_746769,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702140,F5147DRAFT_746779,F5147DRAFT_746779,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702141,F5147DRAFT_746797,F5147DRAFT_746797,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702142,F5147DRAFT_746800,F5147DRAFT_746800,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64702143,F5147DRAFT_746807,F5147DRAFT_746807,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64702144,F5147DRAFT_746813,F5147DRAFT_746813,-,-,Unknown,-,casein kinase I isoform delta,protein-coding,-,-,-,casein kinase I isoform delta,20210605,-
1912936,64702145,F5147DRAFT_746814,F5147DRAFT_746814,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702146,F5147DRAFT_746824,F5147DRAFT_746824,-,-,Unknown,-,glutamyl-tRNA amidotransferase subunit A,protein-coding,-,-,-,glutamyl-tRNA amidotransferase subunit A,20210605,-
1912936,64702147,F5147DRAFT_746825,F5147DRAFT_746825,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702148,F5147DRAFT_746845,F5147DRAFT_746845,-,-,Unknown,-,histone acetyltransferase subunit NuA4-domain-containing protein,protein-coding,-,-,-,histone acetyltransferase subunit NuA4-domain-containing protein,20210605,-
1912936,64702149,F5147DRAFT_746854,F5147DRAFT_746854,-,-,Unknown,-,DNA mismatch repair protein MutS,protein-coding,-,-,-,DNA mismatch repair protein MutS,20210605,-
1912936,64702150,F5147DRAFT_746856,F5147DRAFT_746856,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702151,F5147DRAFT_746912,F5147DRAFT_746912,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702152,F5147DRAFT_746913,F5147DRAFT_746913,-,-,Unknown,-,vacuolar DHA amino acid exporter,protein-coding,-,-,-,vacuolar DHA amino acid exporter,20210605,-
1912936,64702153,F5147DRAFT_746917,F5147DRAFT_746917,-,-,Unknown,-,transcription factor S-II-domain-containing protein,protein-coding,-,-,-,transcription factor S-II-domain-containing protein,20210605,-
1912936,64702154,F5147DRAFT_746938,F5147DRAFT_746938,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702155,F5147DRAFT_746939,F5147DRAFT_746939,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702156,F5147DRAFT_746940,F5147DRAFT_746940,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64702157,F5147DRAFT_746952,F5147DRAFT_746952,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702158,F5147DRAFT_746958,F5147DRAFT_746958,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702159,F5147DRAFT_746960,F5147DRAFT_746960,-,-,Unknown,-,CSNK1A1 protein,protein-coding,-,-,-,CSNK1A1 protein,20210605,-
1912936,64702160,F5147DRAFT_747021,F5147DRAFT_747021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702161,F5147DRAFT_747022,F5147DRAFT_747022,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702162,F5147DRAFT_747027,F5147DRAFT_747027,-,-,Unknown,-,"ribosomal protein L6, alpha-beta domain-containing protein",protein-coding,-,-,-,"ribosomal protein L6, alpha-beta domain-containing protein",20210605,-
1912936,64702163,F5147DRAFT_747035,F5147DRAFT_747035,-,-,Unknown,-,Fcf2 pre-rRNA processing-domain-containing protein,protein-coding,-,-,-,Fcf2 pre-rRNA processing-domain-containing protein,20210605,-
1912936,64702164,F5147DRAFT_747038,F5147DRAFT_747038,-,-,Unknown,-,Fcf2-domain-containing protein,protein-coding,-,-,-,Fcf2-domain-containing protein,20210605,-
1912936,64702165,F5147DRAFT_747074,F5147DRAFT_747074,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210605,-
1912936,64702166,F5147DRAFT_747095,F5147DRAFT_747095,-,-,Unknown,-,ABC-2 type transporter-domain-containing protein,protein-coding,-,-,-,ABC-2 type transporter-domain-containing protein,20210605,-
1912936,64702167,F5147DRAFT_747111,F5147DRAFT_747111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702168,F5147DRAFT_747112,F5147DRAFT_747112,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64702169,F5147DRAFT_747133,F5147DRAFT_747133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64702170,F5147DRAFT_747134,F5147DRAFT_747134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64702171,F5147DRAFT_747135,F5147DRAFT_747135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
