#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034111,40233684,27,FGG27_gp027,LITTLEE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233685,28,FGG27_gp028,LITTLEE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233686,29,FGG27_gp029,LITTLEE_29,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200909,-
1034111,40233687,30,FGG27_gp030,LITTLEE_30,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1034111,40233688,31,FGG27_gp031,LITTLEE_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1034111,40233689,32,FGG27_gp032,LITTLEE_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200909,-
1034111,40233690,33,FGG27_gp033,LITTLEE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233691,34,FGG27_gp034,LITTLEE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233692,35,FGG27_gp035,LITTLEE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233693,36,FGG27_gp036,LITTLEE_36,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1034111,40233694,37,FGG27_gp037,LITTLEE_37,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1034111,40233695,38,FGG27_gp038,LITTLEE_38,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1034111,40233696,39,FGG27_gp039,LITTLEE_39,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200909,-
1034111,40233697,40,FGG27_gp040,LITTLEE_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200909,-
1034111,40233698,41,FGG27_gp041,LITTLEE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233699,42,FGG27_gp042,LITTLEE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233700,43,FGG27_gp043,LITTLEE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233701,44,FGG27_gp044,LITTLEE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233702,45,FGG27_gp045,LITTLEE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233703,46,FGG27_gp046,LITTLEE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034111,40233704,47,FGG27_gp047,LITTLEE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233705,48,FGG27_gp048,LITTLEE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233706,49,FGG27_gp049,LITTLEE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233707,50,FGG27_gp050,LITTLEE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233708,51,FGG27_gp051,LITTLEE_51,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200909,-
1034111,40233709,52,FGG27_gp052,LITTLEE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233710,53,FGG27_gp053,LITTLEE_53,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200909,-
1034111,40233711,54,FGG27_gp054,LITTLEE_54,-,-,-,holin,protein-coding,-,-,-,holin,20200909,-
1034111,40233712,55,FGG27_gp055,LITTLEE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
